0.004712 11143.049609	  4.71238898e-03             -nan            0	  4.71238898e-03             -nan            0	  4.71238898e-03             -nan            0
0.007854 23778.451023	  7.85398163e-03   5.30638891e+04           18	  7.85398163e-03   6.76086646e+04           18	  7.85398163e-03   1.00743911e+05           18
0.010996 27613.615265	  1.09955743e-02   2.42556593e+04            8	  1.09955743e-02   3.14015718e+04            8	  1.09955743e-02   5.28034382e+04            8
0.014137 24368.930156	  1.41371669e-02   3.99706167e+04           54	  1.41371669e-02   5.08687399e+04           54	  1.41371669e-02   7.99155517e+04           54
0.017279 22918.504061	  1.72787596e-02   1.07811454e+05           12	  1.72787596e-02   1.37217431e+05           12	  1.72787596e-02   2.07735136e+05           12
0.020420 25119.682064	  2.04203522e-02   4.81648494e+04           86	  2.04203522e-02   6.15729085e+04           86	  2.04203522e-02   9.69814599e+04           86
0.023562 25672.451484	  2.35619449e-02   4.43522093e+04           72	  2.35619449e-02   5.73164197e+04           72	  2.35619449e-02   9.09370886e+04           72
0.026704 23220.821531	  2.67035376e-02   3.90016524e+04          138	  2.67035376e-02   5.03299986e+04          138	  2.67035376e-02   8.11614843e+04          138
0.029845 20591.318402	  2.98451302e-02   4.92908322e+04           96	  2.98451302e-02   6.34053795e+04           96	  2.98451302e-02   9.99620791e+04           96
0.032987 18835.854387	  3.29867229e-02   4.17549455e+04          254	  3.29867229e-02   5.37168454e+04          254	  3.29867229e-02   8.46830063e+04          254
0.036128 17093.689601	  3.61283155e-02   3.14486218e+04          156	  3.61283155e-02   4.10256780e+04          156	  3.61283155e-02   6.65766072e+04          156
0.039270 15348.378428	  3.92699082e-02   2.89983008e+04          294	  3.92699082e-02   3.73841913e+04          294	  3.92699082e-02   5.77648161e+04          294
0.042412 14469.462779	  4.24115008e-02   3.29781823e+04          176	  4.24115008e-02   4.26345653e+04          176	  4.24115008e-02   6.69039698e+04          176
0.045553 14261.097374	  4.55530935e-02   2.91388067e+04          426	  4.55530935e-02   3.76753760e+04          426	  4.55530935e-02   6.01377870e+04          426
0.048695 13475.642379	  4.86946861e-02   2.88335418e+04          312	  4.86946861e-02   3.69227457e+04          312	  4.86946861e-02   5.79203603e+04          312
0.051836 12051.853563	  5.18362788e-02   2.87038359e+04          450	  5.18362788e-02   3.71091636e+04          450	  5.18362788e-02   5.82177405e+04          450
0.054978 11122.500889	  5.49778714e-02   2.56440846e+04          416	  5.49778714e-02   3.34123998e+04          416	  5.49778714e-02   5.26816645e+04          416
0.058119 10993.377275	  5.81194641e-02   2.37763586e+04          726	  5.81194641e-02   3.05606827e+04          726	  5.81194641e-02   4.76441139e+04          726
0.061261 11096.148602	  6.12610567e-02   2.16963837e+04          444	  6.12610567e-02   2.80573798e+04          444	  6.12610567e-02   4.38489814e+04          444
0.064403 11017.874925	  6.44026494e-02   2.19758403e+04          806	  6.44026494e-02   2.83370085e+04          806	  6.44026494e-02   4.38891406e+04          806
0.067544 10553.964493	  6.75442421e-02   2.11276309e+04          552	  6.75442421e-02   2.71128120e+04          552	  6.75442421e-02   4.26764717e+04          552
0.070686 9842.638041	  7.06858347e-02   1.98212534e+04          906	  7.06858347e-02   2.54882892e+04          906	  7.06858347e-02   3.86833095e+04          906
0.073827 9337.778931	  7.38274274e-02   2.11774520e+04          720	  7.38274274e-02   2.74187063e+04          720	  7.38274274e-02   4.29030608e+04          720
0.076969 9055.577101	  7.69690200e-02   1.85301724e+04         1094	  7.69690200e-02   2.37774655e+04         1094	  7.69690200e-02   3.68410779e+04         1094
0.080111 8578.714628	  8.01106127e-02   1.66518034e+04          876	  8.01106127e-02   2.13570738e+04          876	  8.01106127e-02   3.34674325e+04          876
0.083252 7881.508675	  8.32522053e-02   1.75813580e+04         1302	  8.32522053e-02   2.26660893e+04         1302	  8.32522053e-02   3.47582116e+04         1302
0.086394 7335.541976	  8.63937980e-02   1.49933823e+04         1064	  8.63937980e-02   1.93513155e+04         1064	  8.63937980e-02   3.07481331e+04         1064
0.089535 7025.583640	  8.95353906e-02   1.56817416e+04         1434	  8.95353906e-02   2.03049551e+04         1434	  8.95353906e-02   3.13194004e+04         1434
0.092677 6736.332885	  9.26769833e-02   1.36909102e+04         1104	  9.26769833e-02   1.75490421e+04         1104	  9.26769833e-02   2.77451738e+04         1104
0.095819 6374.977254	  9.58185759e-02   1.30634153e+04         1518	  9.58185759e-02   1.66273145e+04         1518	  9.58185759e-02   2.53844759e+04         1518
0.098960 5985.400109	  9.89601686e-02   1.28950814e+04         1556	  9.89601686e-02   1.66428601e+04         1556	  9.89601686e-02   2.55483706e+04         1556
0.102102 5644.276928	  1.02101761e-01   1.24621345e+04         1782	  1.02101761e-01   1.59589941e+04         1782	  1.02101761e-01   2.41054666e+04         1782
0.105243 5449.780008	  1.05243354e-01   1.18233756e+04         1524	  1.05243354e-01   1.52312558e+04         1524	  1.05243354e-01   2.36187222e+04         1524
0.108385 5358.216940	  1.08384947e-01   1.19041142e+04         2198	  1.08384947e-01   1.53313299e+04         2198	  1.08384947e-01   2.38914016e+04         2198
0.111527 5190.776658	  1.11526539e-01   1.08736194e+04         1728	  1.11526539e-01   1.39294049e+04         1728	  1.11526539e-01   2.20427944e+04         1728
0.114668 4935.345187	  1.14668132e-01   1.11410030e+04         2442	  1.14668132e-01   1.44308488e+04         2442	  1.14668132e-01   2.29397860e+04         2442
0.117810 4746.810677	  1.17809725e-01   1.07419347e+04         1800	  1.17809725e-01   1.38583603e+04         1800	  1.17809725e-01   2.19298248e+04         1800
0.120951 4658.131676	  1.20951317e-01   1.02006558e+04         2558	  1.20951317e-01   1.32023572e+04         2558	  1.20951317e-01   2.04921369e+04         2558
0.124093 4575.013675	  1.24092910e-01   1.01757792e+04         2268	  1.24092910e-01   1.31913136e+04         2268	  1.24092910e-01   2.10329890e+04         2268
0.127235 4457.998203	  1.27234502e-01   9.75000959e+03         2766	  1.27234502e-01   1.25867253e+04         2766	  1.27234502e-01   1.94377904e+04         2766
0.130376 4327.407904	  1.30376095e-01   9.96318160e+03         2504	  1.30376095e-01   1.29387075e+04         2504	  1.30376095e-01   2.03413672e+04         2504
0.133518 4191.598103	  1.33517688e-01   9.25656424e+03         3210	  1.33517688e-01   1.19462512e+04         3210	  1.33517688e-01   1.91052105e+04         3210
0.136659 4044.695888	  1.36659280e-01   9.49934024e+03         2544	  1.36659280e-01   1.21313822e+04         2544	  1.36659280e-01   1.90841149e+04         2544
0.139801 3881.323762	  1.39800873e-01   8.97827344e+03         3438	  1.39800873e-01   1.15294251e+04         3438	  1.39800873e-01   1.81907159e+04         3438
0.142942 3698.977281	  1.42942466e-01   8.71274371e+03         2900	  1.42942466e-01   1.10889165e+04         2900	  1.42942466e-01   1.75280961e+04         2900
0.146084 3526.509110	  1.46084058e-01   8.38676598e+03         3702	  1.46084058e-01   1.07848392e+04         3702	  1.46084058e-01   1.64982939e+04         3702
0.149226 3421.438030	  1.49225651e-01   8.42431704e+03         3312	  1.49225651e-01   1.08963766e+04         3312	  1.49225651e-01   1.70300197e+04         3312
0.152367 3372.372140	  1.52367244e-01   7.64466301e+03         3818	  1.52367244e-01   9.83445049e+03         3818	  1.52367244e-01   1.53946483e+04         3818
0.155509 3300.517022	  1.55508836e-01   7.55970580e+03         3552	  1.55508836e-01   9.76653073e+03         3552	  1.55508836e-01   1.60010474e+04         3552
0.158650 3190.009747	  1.58650429e-01   7.03632981e+03         4482	  1.58650429e-01   9.16884382e+03         4482	  1.58650429e-01   1.50250472e+04         4482
0.161792 3089.115495	  1.61792022e-01   7.34028713e+03         3848	  1.61792022e-01   9.36479038e+03         3848	  1.61792022e-01   1.53341091e+04         3848
0.164934 3011.110556	  1.64933614e-01   7.03024621e+03         4758	  1.64933614e-01   8.99483871e+03         4758	  1.64933614e-01   1.46681691e+04         4758
0.168075 2932.521530	  1.68075207e-01   6.75900335e+03         3996	  1.68075207e-01   8.69505054e+03         3996	  1.68075207e-01   1.41796049e+04         3996
0.171217 2856.302071	  1.71216800e-01   6.93468712e+03         5070	  1.71216800e-01   8.84318899e+03         5070	  1.71216800e-01   1.45813760e+04         5070
0.174358 2811.924075	  1.74358392e-01   6.53548910e+03         4640	  1.74358392e-01   8.48837092e+03         4640	  1.74358392e-01   1.44188317e+04         4640
0.177500 2790.759491	  1.77499985e-01   6.64480470e+03         5322	  1.77499985e-01   8.68947768e+03         5322	  1.77499985e-01   1.43785512e+04         5322
0.180642 2746.926681	  1.80641578e-01   6.60520896e+03         4536	  1.80641578e-01   8.46718017e+03         4536	  1.80641578e-01   1.41990578e+04         4536
0.183783 2678.424394	  1.83783170e-01   6.54316467e+03         6014	  1.83783170e-01   8.48121475e+03         6014	  1.83783170e-01   1.43637368e+04         6014
0.186925 2626.757277	  1.86924763e-01   6.14910065e+03         5148	  1.86924763e-01   8.00151140e+03         5148	  1.86924763e-01   1.33997110e+04         5148
0.190066 2589.320954	  1.90066356e-01   6.15057416e+03         6078	  1.90066356e-01   7.95934822e+03         6078	  1.90066356e-01   1.33375460e+04         6078
0.193208 2519.586054	  1.93207948e-01   6.05230011e+03         5280	  1.93207948e-01   7.79253706e+03         5280	  1.93207948e-01   1.33595925e+04         5280
0.196350 2421.976666	  1.96349541e-01   5.73589190e+03         6866	  1.96349541e-01   7.44467943e+03         6866	  1.96349541e-01   1.30129590e+04         6866
0.199491 2351.661473	  1.99491134e-01   5.90130657e+03         5904	  1.99491134e-01   7.63021957e+03         5904	  1.99491134e-01   1.32139267e+04         5904
0.202633 2315.591153	  2.02632726e-01   5.66001741e+03         6702	  2.02632726e-01   7.35215052e+03         6702	  2.02632726e-01   1.32064504e+04         6399
0.205774 2272.050132	  2.05774319e-01   5.70963779e+03         6404	  2.05774319e-01   7.39947585e+03         6404	  2.05774319e-01   1.30112465e+04         6116
0.208916 2215.625746	  2.08915911e-01   5.53986045e+03         7398	  2.08915911e-01   7.21177000e+03         7398	  2.08915911e-01   1.24061610e+04         6468
0.212058 2177.969257	  2.12057504e-01   5.52515780e+03         6852	  2.12057504e-01   7.17697617e+03         6852	  2.12057504e-01   1.29990545e+04         5832
0.215199 2156.562018	  2.15199097e-01   5.25722053e+03         7902	  2.15199097e-01   6.84389282e+03         7902	  2.15199097e-01   1.25141019e+04         6288
0.218341 2114.533215	  2.18340689e-01   5.42025019e+03         6992	  2.18340689e-01   7.07425736e+03         6992	  2.18340689e-01   1.29058625e+04         5396
